Lottery Number,City,Number of Apartments,Number of Participants,PpM
2470,אילת,72,3056,"12,206.00"
2471,אילת,60,2988,"12,206.00"
2472,אילת,48.00,2937,"12,206.00"
2473,אילת,32.00,2878,"12,206.00"
2474,אילת,29.00,2898,"12,206.00"
2491,אפרת,25.00,630,"13,104.00"
2479,ביתשאן,68.00,1778,"7,305.48"
2480,ביתשאן,57.00,1798,"7,294.95"
2481,ביתשאן,55.00,1761,"7,305.48"
2482,ביתשאן,49.00,1732,"7,305.48"
2483,ביתשאן,46.00,1725,"7,305.48"
2446,ביתשמש,422.00,7682,"14,644.89"
2447,ביתשמש,239.00,7770,"14,633.19"
2448,ביתשמש,213.00,7701,"14,670.63"
2449,ביתשמש,194.00,7654,"14,640.21"
2450,ביתשמש,175.00,7584,"15,187.77"
2451,ביתשמש,167.00,7607,"14,642.55"
2452,ביתשמש,138.00,7596,"14,633.19"
2453,ביתשמש,114.00,7605,"14,609.79"
2454,ביתשמש,114.00,7570,"14,647.23"
2455,ביתשמש,106.00,7549,"14,657.76"
2456,ביתשמש,81.00,7518,"14,642.55"
2457,ביתשמש,78.00,7518,"14,654.25"
2458,ביתשמש,75.00,7523,"14,620.32"
2459,ביתשמש,31.00,7510,"14,605.11"
2460,ביתשמש,28.00,7442,"14,632.02"
2492,"בניעי""ש",106.00,5755,"15,118.74"
2493,"בניעי""ש",77.00,5769,"15,268.50"
2494,"בניעי""ש",73.00,5766,"14,811.03"
2495,"בניעי""ש",73.00,5743,"14,811.03"
2496,"בניעי""ש",67.00,5715,"14,520.87"
2497,"בניעי""ש",66.00,5768,"14,094.99"
2498,"בניעי""ש",64.00,5712,"14,455.35"
2499,"בניעי""ש",58.00,5706,"14,739.66"
2500,"בניעי""ש",38.00,5677,"14,811.03"
2501,"בניעי""ש",37.00,5632,"15,268.50"
2502,"בניעי""ש",29.00,5676,"14,369.94"
2503,"בניעי""ש",29.00,5655,"14,811.03"
2475,דימונה,38.00,1076,"7,722.00"
2477,טירתכרמל,93.00,2542,"13,919.49"
2476,יהוד,166.00,6822,"22,901.58"
2461,כפרסבא,113.00,11874,"18,949.32"
2462,כפרסבא,108.00,11561,"20,367.36"
2463,כפרסבא,104.00,11583,"19,947.33"
2464,כפרסבא,94.00,11423,"20,996.82"
2465,כפרסבא,60.00,11353,"20,682.09"
2466,כפרסבא,58.00,11476,"19,947.33"
2467,כפרסבא,32.00,11348,"20,367.36"
2468,כפרסבא,29.00,11315,"20,367.36"
2485,צורהדסה,44.00,3556,"16,164.72"
2486,צורהדסה,41.00,3455,"16,415.10"
2487,צורהדסה,33.00,3435,"16,528.59"
2488,צורהדסה,32,3453,"16,026.66"
2489,צורהדסה,22.00,3440,"16,055.91"
2490,צורהדסה,20.00,3415,"16,036.02"
2469,קרייתגת,132.00,4639,"13,808.34"
2478,קרייתמלאכי,11.00,1931,"11,538.54"
2445,ראשוןלציון,58.00,9158,"20,384.91"
2484,רכסים,20.00,1757,"12,645.36"
