Lottery Number,City,Number of Apartments,Number of Participants,PpM
2470,Eilat,72,4247,12206
2471,Eilat,60,4169,12206
2472,Eilat,48,4086,12206
2473,Eilat,32,4007,12206
2474,Eilat,29,4030,12206
2491,Efrat,25,892,13104
2479,Beith-Shean,68,2563,7305
2480,Beith-Shean,57,2579,7294
2481,Beith-Shean,55,2538,7305
2482,Beith-Shean,49,2493,7305
2483,Beith-Shean,46,2485,7305
2446,Beith-Shemesh,422,11105,14644
2447,Beith-Shemesh,239,11207,14633
2448,Beith-Shemesh,213,11105,14670
2449,Beith-Shemesh,194,11047,14640
2450,Beith-Shemesh,175,10945,15187
2451,Beith-Shemesh,167,10988,14642
2452,Beith-Shemesh,138,10969,14633
2453,Beith-Shemesh,114,10978,14609
2454,Beith-Shemesh,114,10930,14647
2455,Beith-Shemesh,106,10901,14657
2456,Beith-Shemesh,81,10857,14642
2457,Beith-Shemesh,78,10854,14654
2458,Beith-Shemesh,75,10867,14620
2459,Beith-Shemesh,31,10862,14605
2460,Beith-Shemesh,28,10772,14632
2492,Bnei Ayish,106,8336,15118
2493,Bnei Ayish,77,8387,15268
2494,Bnei Ayish,73,8376,14811
2495,Bnei Ayish,73,8352,14811
2496,Bnei Ayish,67,8322,14520
2497,Bnei Ayish,66,8388,14094
2498,Bnei Ayish,64,8325,14455
2499,Bnei Ayish,58,8306,14739
2500,Bnei Ayish,38,8274,14811
2501,Bnei Ayish,37,8210,15268
2502,Bnei Ayish,29,8270,14369
2503,Bnei Ayish,29,8241,14811
2475,Dimona,38,1454,7722
2477,Tirat Carmel,93,3597,13919
2476,Yahud,166,9607,22901
2461,Kfar Saba,113,16721,18949
2462,Kfar Saba,108,16266,20367
2463,Kfar Saba,104,16313,19947
2464,Kfar Saba,94,16085,20996
2465,Kfar Saba,60,16014,20682
2466,Kfar Saba,58,16158,19947
2467,Kfar Saba,32,15991,20367
2468,Kfar Saba,29,15932,20367
2485,Tzur Hadassa,44,5229,16164
2486,Tzur Hadassa,41,5116,16415
2487,Tzur Hadassa,33,5088,16528
2488,Tzur Hadassa,32,5105,16026
2489,Tzur Hadassa,22,5086,16055
2490,Tzur Hadassa,20,5051,16036
2469,Kiryat Gat,132,6621,13808
2478,Kiryat Malakhi,11,2635,11538
2445,Rishon LeZiyon,58,12822,20384
2484,Rechasim,20,2623,12645
